puesto,categoria,palabras_clave,verbos_accion,habilidades_sugeridas
Desarrollador Full Stack,Tecnología,"JavaScript,React,Node.js,API REST,Base de datos,Git","Desarrollé,Implementé,Optimicé,Diseñé,Integré","JavaScript,React,Node.js,HTML,CSS,SQL,Git,MongoDB"
Desarrollador Frontend,Tecnología,"React,JavaScript,HTML,CSS,Responsive,UI/UX","Desarrollé,Implementé,Diseñé,Optimicé,Mejoré","React,Vue,Angular,JavaScript,HTML5,CSS3,Tailwind,Bootstrap"
Desarrollador Backend,Tecnología,"Python,Java,Node.js,API,Base de datos,Microservicios","Desarrollé,Implementé,Diseñé,Optimicé,Escalé","Python,Java,Node.js,SQL,PostgreSQL,MongoDB,Docker,AWS"
QA Tester,Tecnología,"Testing,Automatización,Selenium,API Testing,Jira","Testeé,Automaticé,Validé,Reporté,Documenté","Selenium,Postman,Jira,TestNG,Cypress,API Testing,SQL"
Data Analyst,Tecnología,"SQL,Excel,Power BI,Tableau,Análisis de datos,Dashboard","Analicé,Visualicé,Reporté,Identifiqué,Optimicé","SQL,Excel,Power BI,Tableau,Python,Estadística,Google Analytics"
Data Scientist,Tecnología,"Python,Machine Learning,SQL,Estadística,Pandas,Análisis predictivo","Desarrollé,Implementé,Modelé,Analicé,Predije","Python,R,SQL,Machine Learning,Pandas,Scikit-learn,TensorFlow,Tableau"
DevOps Engineer,Tecnología,"Docker,Kubernetes,CI/CD,AWS,Linux,Automatización","Automaticé,Desplegué,Configuré,Monitoricé,Optimicé","Docker,Kubernetes,Jenkins,AWS,Linux,Git,Terraform,Ansible"
Soporte Técnico IT,Tecnología,"Hardware,Software,Windows,Redes,Troubleshooting,Mesa de ayuda","Resolví,Asistí,Configuré,Diagnostiqué,Soporté","Windows,Active Directory,Office 365,Redes,Hardware,Ticketing"
Administrador de Sistemas,Tecnología,"Linux,Windows Server,Redes,Seguridad,Backup,Virtualización","Administré,Configuré,Mantuve,Monitoreé,Optimicé","Linux,Windows Server,VMware,Active Directory,Redes,Seguridad,Bash"
Diseñador UX/UI,Tecnología,"Figma,Prototipado,Experiencia de usuario,Diseño de interfaces","Diseñé,Prototipé,Investigué,Optimicé,Colaboré","Figma,Adobe XD,Sketch,Wireframing,Prototyping,User Research"
Marketing Digital,Marketing,"SEO,SEM,Google Ads,Redes sociales,Analytics,Content Marketing","Gestioné,Optimicé,Aumenté,Posicioné,Analicé","Google Ads,Facebook Ads,SEO,SEM,Google Analytics,Mailchimp,Hootsuite"
Community Manager,Marketing,"Redes sociales,Contenido,Engagement,Análisis de métricas","Gestioné,Creé,Publiqué,Aumenté,Interactué","Instagram,Facebook,Twitter,TikTok,Canva,Meta Business Suite,Copywriting"
Analista de Marketing,Marketing,"Investigación de mercado,Análisis de datos,KPI,Reportes","Analicé,Reporté,Identifiqué,Recomendé,Evalué","Excel,Google Analytics,Power BI,SQL,Investigación de mercado"
Diseñador Gráfico,Marketing,"Adobe Photoshop,Illustrator,Diseño editorial,Branding","Diseñé,Creé,Desarrollé,Conceptualicé,Produje","Photoshop,Illustrator,InDesign,Canva,Branding,Diseño editorial"
Content Manager,Marketing,"Creación de contenido,SEO,Copywriting,Estrategia de contenido","Creé,Redacté,Planifiqué,Publiqué,Optimicé","Copywriting,SEO,WordPress,Redes sociales,Content Strategy,Storytelling"
Ejecutivo de Ventas,Ventas,"Prospección,Negociación,Cierre de ventas,CRM,Atención al cliente","Vendí,Negocié,Cerré,Prospecté,Fidelicé","Prospección,Negociación,CRM,Salesforce,Técnicas de venta,Excel"
Vendedor de Mostrador,Ventas,"Atención al cliente,Ventas,Caja,Stock,Retail","Atendí,Vendí,Asesoré,Cobré,Repuse","Atención al cliente,Ventas,Caja registradora,Manejo de stock,Facturación"
Gerente Comercial,Ventas,"Gestión de equipos,Estrategia comercial,KPI,Presupuestos","Lideré,Gestioné,Aumenté,Desarrollé,Coordiné","Liderazgo,Gestión comercial,CRM,Análisis de ventas,Negociación,Excel"
Account Manager,Ventas,"Gestión de cuentas,Relación con clientes,Retención,Up-selling","Gestioné,Mantuve,Incrementé,Fidelicé,Negocié","CRM,Gestión de clientes,Negociación,Excel,Comunicación efectiva"
Representante de Atención al Cliente,Ventas,"Atención telefónica,Resolución de problemas,CRM,Satisfacción del cliente","Asistí,Resolví,Atendí,Gestioné,Satisfice","Atención al cliente,CRM,Comunicación telefónica,Resolución de conflictos"
Contador,Finanzas,"Contabilidad,Impuestos,Balances,Liquidaciones,AFIP","Preparé,Concilié,Liquidé,Declaré,Audité","Excel,Tango,SAP,Contabilidad,Impuestos,AFIP,Liquidación de sueldos"
Analista Contable,Finanzas,"Registración contable,Conciliaciones,Análisis de cuentas","Registré,Concilié,Analicé,Preparé,Controló","Excel,Tango,Contabilidad,Conciliaciones bancarias,Análisis de cuentas"
Analista Financiero,Finanzas,"Análisis financiero,Presupuestos,Proyecciones,Reportes","Analicé,Proyecté,Preparé,Evalué,Recomendé","Excel avanzado,Análisis financiero,Power BI,SQL,Modelado financiero"
Tesorero,Finanzas,"Gestión de flujo de caja,Cobranzas,Pagos,Conciliaciones bancarias","Gestioné,Controlé,Concilié,Pagué,Cobré","Excel,Cash flow,Conciliaciones bancarias,Homebanking,Gestión de pagos"
Auditor,Finanzas,"Auditoría,Control interno,NIIF,Análisis de riesgos,Compliance","Audité,Evalué,Verifiqué,Identifiqué,Recomendé","Auditoría,NIIF,Control interno,Excel,Análisis de riesgos"
Auxiliar Administrativo,Administración,"Archivo,Facturación,Atención telefónica,Gestión documental","Organicé,Archivé,Facturé,Atendí,Gestioné","Excel,Word,Facturación,Archivo,Atención telefónica,Organización"
Asistente Ejecutivo,Administración,"Agenda,Organización,Comunicación,Gestión documental","Coordiné,Organicé,Gestioné,Asistí,Planifiqué","Excel,Outlook,Organización,Gestión de agenda,Redacción,PowerPoint"
Analista de Recursos Humanos,Recursos Humanos,"Reclutamiento,Selección,Onboarding,Administración de personal","Recluté,Seleccioné,Evalué,Coordiné,Gestioné","Reclutamiento,Selección,LinkedIn Recruiter,Excel,Evaluación de desempeño"
Generalista de RRHH,Recursos Humanos,"Gestión de personal,Liquidaciones,Capacitación,Relaciones laborales","Gestioné,Liquidé,Capacité,Coordiné,Implementé","Liquidación de sueldos,Tango,Excel,Relaciones laborales,Capacitación"
Analista de Compensaciones,Recursos Humanos,"Liquidación de sueldos,Cargas sociales,Administración de personal","Liquidé,Calculé,Procesé,Controlé,Declaré","Liquidación de sueldos,Tango,Excel,AFIP,Cargas sociales"
